Language,0-100,100-1K,1K-10K,10K-100K,100K+
ab,0,1,0,0,0
af,1,2,0,0,0
am,1,1,0,0,0
an,1,1,0,0,0
ar,0,1,2,0,0
as,0,1,0,0,0
av,1,2,0,0,0
ay,0,1,0,0,0
az,1,1,0,0,0
ba,3,1,0,0,0
be,1,1,0,0,0
bg,0,1,2,0,0
bh,3,1,0,0,0
bi,2,1,0,0,0
bm,0,1,0,0,0
bn,1,2,0,0,0
bo,2,1,0,0,0
br,1,1,0,0,0
bs,2,2,0,0,0
ce,2,1,0,0,0
ch,2,1,0,0,0
co,1,1,0,0,0
cs,0,2,0,1,0
cu,1,1,0,0,0
cv,2,1,0,0,0
cy,1,1,0,0,0
da,0,0,2,0,0
de,0,0,1,2,0
dv,2,1,0,0,0
ee,1,1,0,0,0
el,0,1,1,0,0
en,0,0,0,5,0
eo,1,0,0,0,0
es,0,0,3,0,0
et,0,2,0,0,0
eu,0,1,0,0,0
fa,0,0,4,0,0
ff,2,1,0,0,0
fi,0,2,0,0,0
fo,1,1,0,0,0
fr,0,0,2,0,0
fy,2,1,0,0,0
ga,0,1,0,0,0
gd,2,1,0,0,0
gl,1,2,0,0,0
gn,2,1,0,0,0
gu,2,2,0,0,0
ha,2,2,0,0,0
hi,0,2,1,0,0
hr,0,3,0,0,0
ht,1,1,0,0,0
hu,0,2,1,0,0
hy,0,3,0,0,0
ia,3,1,0,0,0
id,0,0,3,0,0
ie,3,1,0,0,0
ig,1,1,0,0,0
ik,2,0,0,0,0
is,0,2,0,0,0
it,0,0,2,1,0
iu,2,1,0,0,0
ja,0,0,0,3,1
jv,1,0,0,0,0
ka,1,1,0,0,0
kg,3,1,0,0,0
ki,1,0,0,0,0
kk,2,1,0,0,0
km,2,2,0,0,0
ko,0,0,3,0,0
ks,2,1,0,0,0
ku,2,2,0,0,0
kv,2,1,0,0,0
kw,0,1,0,0,0
ky,1,1,0,0,0
la,1,1,0,0,0
lb,2,1,0,0,0
lg,2,1,0,0,0
ln,1,0,0,0,0
lo,1,1,0,0,0
lt,0,3,0,0,0
lv,3,1,0,0,0
mg,2,0,0,0,0
mi,0,1,0,0,0
mk,2,1,0,0,0
ml,2,2,0,0,0
mn,2,1,0,0,0
mr,0,3,0,0,0
mt,1,1,0,0,0
my,2,2,0,0,0
ne,3,1,0,0,0
nl,0,0,3,1,0
nn,1,1,0,0,0
no,0,1,0,0,0
nv,2,0,0,0,0
ny,2,1,0,0,0
om,1,1,0,0,0
or,2,1,0,0,0
os,2,1,0,0,0
pa,2,1,0,0,0
pi,4,1,0,0,0
pl,0,0,2,0,0
ps,0,2,0,0,0
pt,0,0,2,0,0
qu,1,1,0,0,0
rn,0,1,0,0,0
ro,0,4,1,0,0
ru,0,0,1,2,1
rw,0,1,0,0,0
sa,1,1,0,0,0
sc,0,1,0,0,0
sd,0,1,0,0,0
se,2,0,0,0,0
sg,2,0,0,0,0
si,1,2,0,0,0
sk,0,1,1,0,0
sl,0,2,0,0,0
sm,1,1,0,0,0
sn,1,1,0,0,0
so,1,1,0,0,0
sq,1,2,1,0,0
sr,0,3,0,0,0
ss,3,1,0,0,0
su,0,1,0,0,0
sv,0,3,1,0,0
sw,2,1,0,0,0
ta,1,1,0,0,0
te,0,2,0,0,0
tg,1,1,0,0,0
th,0,2,2,0,0
ti,2,1,0,0,0
tk,0,1,0,0,0
tl,2,1,0,0,0
to,0,1,0,0,0
tr,0,0,2,1,0
ts,3,1,0,0,0
tt,1,1,0,0,0
tw,0,1,0,0,0
ty,2,0,0,0,0
ug,0,1,0,0,0
uk,0,0,4,0,0
ur,3,1,0,0,0
uz,0,3,0,0,0
vi,0,0,4,1,0
vo,1,1,0,0,0
wa,2,1,0,0,0
wo,2,0,0,0,0
xh,2,1,0,0,0
yi,2,1,0,0,0
yo,1,1,0,0,0
za,1,1,0,0,0
zh,0,0,3,1,0
