Language,0-100,100-1K,1K-10K,10K-100K,100K+
af,2,0,0,0,0
am,3,0,0,0,0
ar,2,0,0,0,0
ay,1,0,0,0,0
az,2,0,0,0,0
be,2,0,0,0,0
bg,3,0,0,0,0
br,3,0,0,0,0
bs,5,0,0,0,0
ca,1,0,0,0,0
co,3,0,0,0,0
cy,5,0,0,0,0
da,0,1,0,0,0
dv,1,0,0,0,0
el,0,1,0,0,0
eo,3,0,0,0,0
es,0,1,0,0,0
eu,2,0,0,0,0
fa,2,0,0,0,0
fj,1,0,0,0,0
fo,1,0,0,0,0
fr,0,1,0,0,0
ga,3,0,0,0,0
gd,2,0,0,0,0
gl,2,0,0,0,0
gn,4,0,0,0,0
gu,1,0,0,0,0
gv,1,0,0,0,0
ha,4,0,0,0,0
he,2,0,0,0,0
hi,1,1,0,0,0
hr,5,0,0,0,0
hy,4,0,0,0,0
ia,3,0,0,0,0
id,1,0,0,0,0
ie,4,0,0,0,0
ig,4,0,0,0,0
io,3,0,0,0,0
is,2,0,0,0,0
it,0,2,0,0,0
iu,1,0,0,0,0
jv,1,0,0,0,0
ka,3,0,0,0,0
kk,4,0,0,0,0
kl,3,0,0,0,0
km,4,0,0,0,0
kn,4,0,0,0,0
ku,2,1,0,0,0
ky,3,1,0,0,0
la,1,0,0,0,0
lb,2,0,0,0,0
li,1,0,0,0,0
ln,2,0,0,0,0
lo,3,0,0,0,0
lv,3,0,0,0,0
mi,1,0,0,0,0
mk,4,0,0,0,0
ml,2,0,0,0,0
mn,4,0,0,0,0
mr,3,0,0,0,0
ms,2,0,0,0,0
mt,1,0,0,0,0
my,2,0,0,0,0
na,1,0,0,0,0
ne,3,0,0,0,0
nl,1,0,0,0,0
no,3,0,0,0,0
oc,3,0,0,0,0
om,5,0,0,0,0
or,3,0,0,0,0
pa,2,0,0,0,0
pl,0,1,0,0,0
ps,2,0,0,0,0
pt,0,2,0,0,0
qu,1,0,0,0,0
ru,0,1,0,0,0
rw,1,0,0,0,0
sa,4,0,0,0,0
sd,4,0,0,0,0
sg,4,0,0,0,0
sh,3,0,0,0,0
si,1,0,0,0,0
sl,2,0,0,0,0
sm,4,0,0,0,0
sq,4,0,0,0,0
sr,0,1,0,0,0
ss,1,0,0,0,0
st,1,0,0,0,0
su,3,0,0,0,0
sv,2,0,0,0,0
sw,2,0,0,0,0
ta,1,1,0,0,0
te,4,0,0,0,0
th,0,1,0,0,0
ti,1,0,0,0,0
tk,4,0,0,0,0
tl,4,0,0,0,0
tn,3,0,0,0,0
tr,0,1,0,0,0
ts,2,0,0,0,0
tt,2,0,0,0,0
ug,2,0,0,0,0
uk,1,1,0,0,0
uz,2,1,0,0,0
vi,1,1,0,0,0
vo,3,0,0,0,0
wa,1,0,0,0,0
wo,1,0,0,0,0
yi,2,0,0,0,0
zh,4,0,0,0,0
zu,4,0,0,0,0
